Sample_name,Sample_label,sample,tech,Run,source,EGC_ID,site_month
43,WACO21-106-c,WACO21-106,3,3,Samples,WACO.2021.106,Oysterville-May
44,WACO21-098-a,WACO21-098,1,3,Samples,WACO.2021.098,Oysterville-May
45,WACO21-098-b,WACO21-098,2,3,Samples,WACO.2021.098,Oysterville-May
46,WACO21-098-c,WACO21-098,3,3,Samples,WACO.2021.098,Oysterville-May
47,WACO21-101-a2,WACO21-101,4,3,Samples,WACO.2021.101,Oysterville-May
48,WACO21-101-b,WACO21-101,2,3,Samples,WACO.2021.101,Oysterville-May
49,WACO21-101-c,WACO21-101,3,3,Samples,WACO.2021.101,Oysterville-May
50,WACO21-104-a,WACO21-104,1,3,Samples,WACO.2021.104,Oysterville-May
51,WACO21-104-b,WACO21-104,2,3,Samples,WACO.2021.104,Oysterville-May
52,WACO21-104-c,WACO21-104,3,3,Samples,WACO.2021.104,Oysterville-May
53,WACO21-115-a,WACO21-115,1,3,Samples,WACO.2021.115,Oysterville-May
54,WACO21-115-b,WACO21-115,2,3,Samples,WACO.2021.115,Oysterville-May
55,WACO21-115-c,WACO21-115,3,3,Samples,WACO.2021.115,Oysterville-May
56,WACO21-108-a2,WACO21-108,4,3,Samples,WACO.2021.108,Oysterville-May
57,WACO21-108-b,WACO21-108,2,3,Samples,WACO.2021.108,Oysterville-May
58,WACO21-108-c,WACO21-108,3,3,Samples,WACO.2021.108,Oysterville-May
59,WACO21-128-a,WACO21-128,1,3,Samples,WACO.2021.128,Long Beach-May
60,WACO21-128-b,WACO21-128,2,3,Samples,WACO.2021.128,Long Beach-May
61,WACO21-128-c,WACO21-128,3,3,Samples,WACO.2021.128,Long Beach-May
62,WACO21-606-a,WACO21-606,1,3,Samples,WACO.2021.606,Oysterville-Sep
63,WACO21-606-b,WACO21-606,2,3,Samples,WACO.2021.606,Oysterville-Sep
64,WACO21-606-c,WACO21-606,3,3,Samples,WACO.2021.606,Oysterville-Sep
65,WACO21-613-a,WACO21-613,1,3,Samples,WACO.2021.613,Oysterville-Sep
66,WACO21-613-b,WACO21-613,2,3,Samples,WACO.2021.613,Oysterville-Sep
67,WACO21-613-c,WACO21-613,3,3,Samples,WACO.2021.613,Oysterville-Sep
68,WACO21-612-a,WACO21-612,1,3,Samples,WACO.2021.612,Oysterville-Sep
69,WACO21-612-b,WACO21-612,2,3,Samples,WACO.2021.612,Oysterville-Sep
70,WACO21-612-c,WACO21-612,3,3,Samples,WACO.2021.612,Oysterville-Sep
71,WACO21-618-a,WACO21-618,1,3,Samples,WACO.2021.618,Oysterville-Sep
72,WACO21-618-b,WACO21-618,2,3,Samples,WACO.2021.618,Oysterville-Sep
73,WACO21-618-c,WACO21-618,3,3,Samples,WACO.2021.618,Oysterville-Sep
74,WACO21-617-a,WACO21-617,1,3,Samples,WACO.2021.617,Oysterville-Sep
75,WACO21-617-b,WACO21-617,2,3,Samples,WACO.2021.617,Oysterville-Sep
76,WACO21-617-c,WACO21-617,3,3,Samples,WACO.2021.617,Oysterville-Sep
77,WACO21-600-a,WACO21-600,1,3,Samples,WACO.2021.600,Oysterville-Sep
78,WACO21-600-b,WACO21-600,2,3,Samples,WACO.2021.600,Oysterville-Sep
79,WACO21-600-c,WACO21-600,3,3,Samples,WACO.2021.600,Oysterville-Sep
80,WACO21-607-a,WACO21-607,1,3,Samples,WACO.2021.607,Oysterville-Sep
81,WACO21-607-b,WACO21-607,2,3,Samples,WACO.2021.607,Oysterville-Sep
82,WACO21-607-c,WACO21-607,3,3,Samples,WACO.2021.607,Oysterville-Sep
92,NegativeControl,NegativeControl,1,3,Positives,NA,NA
95,PositiveControl,PositiveControl,1,3,Positives,NA,NA
97,MC_B-a,MC_B,1,3,Mock Community,NA,NA
98,MC_B-b,MC_B,2,3,Mock Community,NA,NA
99,MC_B-c,MC_B,3,3,Mock Community,NA,NA
100,MC_E-a,MC_E,1,3,Mock Community,NA,NA
101,MC_E-b,MC_E,2,3,Mock Community,NA,NA
102,MC_E-c,MC_E,3,3,Mock Community,NA,NA
107,WACO21-101-a,WACO21-101,1,3,Samples,WACO.2021.101,Oysterville-May
108,WACO21-108-a,WACO21-108,1,3,Samples,WACO.2021.108,Oysterville-May
