"","Sample_name","Sample_label","sample","tech","Run","source","EGC_ID","site_month"
"37","59","WACO21-128-a","WACO21-128",1,4,"Samples","WACO.2021.128","Long Beach-May"
"38","60","WACO21-128-b","WACO21-128",2,4,"Samples","WACO.2021.128","Long Beach-May"
"39","61","WACO21-128-c","WACO21-128",3,4,"Samples","WACO.2021.128","Long Beach-May"
"40","65","WACO21-613-a","WACO21-613",1,4,"Samples","WACO.2021.613","Oysterville-Sep"
"41","66","WACO21-613-b","WACO21-613",2,4,"Samples","WACO.2021.613","Oysterville-Sep"
"42","67","WACO21-613-c","WACO21-613",3,4,"Samples","WACO.2021.613","Oysterville-Sep"
"43","68","WACO21-612-a","WACO21-612",1,4,"Samples","WACO.2021.612","Oysterville-Sep"
"44","69","WACO21-612-b","WACO21-612",2,4,"Samples","WACO.2021.612","Oysterville-Sep"
"45","70","WACO21-612-c","WACO21-612",3,4,"Samples","WACO.2021.612","Oysterville-Sep"
"46","74","WACO21-617-a","WACO21-617",1,4,"Samples","WACO.2021.617","Oysterville-Sep"
"47","75","WACO21-617-b","WACO21-617",2,4,"Samples","WACO.2021.617","Oysterville-Sep"
"48","76","WACO21-617-c","WACO21-617",3,4,"Samples","WACO.2021.617","Oysterville-Sep"
"49","77","WACO21-600-a","WACO21-600",1,4,"Samples","WACO.2021.600","Oysterville-Sep"
"50","78","WACO21-600-b","WACO21-600",2,4,"Samples","WACO.2021.600","Oysterville-Sep"
"51","79","WACO21-600-c","WACO21-600",3,4,"Samples","WACO.2021.600","Oysterville-Sep"
"52","80","WACO21-607-a","WACO21-607",1,4,"Samples","WACO.2021.607","Oysterville-Sep"
"53","81","WACO21-607-b","WACO21-607",2,4,"Samples","WACO.2021.607","Oysterville-Sep"
"54","82","WACO21-607-c","WACO21-607",3,4,"Samples","WACO.2021.607","Oysterville-Sep"
"55","83","WACO21-309-a","WACO21-309",1,4,"Samples","WACO.2021.309","Nahcotta-Jul"
"56","84","WACO21-309-b","WACO21-309",2,4,"Samples","WACO.2021.309","Nahcotta-Jul"
"57","85","WACO21-309-c","WACO21-309",3,4,"Samples","WACO.2021.309","Nahcotta-Jul"
"58","86","WACO21-310-a","WACO21-310",1,4,"Samples","WACO.2021.310","Nahcotta-Jul"
"59","87","WACO21-310-b","WACO21-310",2,4,"Samples","WACO.2021.310","Nahcotta-Jul"
"60","88","WACO21-310-c","WACO21-310",3,4,"Samples","WACO.2021.310","Nahcotta-Jul"
"61","89","WACO21-632-a","WACO21-632",1,4,"Samples","WACO.2021.632","Stackpole-Sep"
"62","90","WACO21-632-b","WACO21-632",2,4,"Samples","WACO.2021.632","Stackpole-Sep"
"63","91","WACO21-632-c","WACO21-632",3,4,"Samples","WACO.2021.632","Stackpole-Sep"
"64","96","PositiveControl","PositiveControl",1,4,"Positives",NA,NA
